Database???Annual
Year£ºLATEST10
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Number of Rural Households(10000  subscribers),,,,,,,,,,
Rural Population(10000 persons),,,,,,,,,,
Data Sources£ºNational Bureau of Statistics
